timestamp,actor,type,chat,message
"Thu, 27 Jun 2019 18:14:00 GMT",Morgan,says,ooc,"Btw, what we talked about before, me getting triggered by conflict... I think maybe we should just go ahead as normal and see what happens. My fear of getting triggered shouldn't dictate how we play. If I do get triggered, then we'll go from there. Okay?"
"Thu, 27 Jun 2019 18:16:00 GMT",Chris,says,ooc,"Ok sure, if thats what you think is best. Like i said Biron is gonna be changing slowly over time as his character develops anyway. But yea we can continue as is as long as ua fine with it."
"Thu, 27 Jun 2019 18:17:00 GMT",Ric,says,ooc,"Thanks for letting us know. I'll check in on you anyway, and remember, we can all call a T"" time out at any time."""
"Thu, 27 Jun 2019 18:17:00 GMT",Mark,says,ooc,"Coffee, surely! 😛"
"Thu, 27 Jun 2019 18:17:00 GMT",Morgan,says,ooc,"Let's see how it goes. I know I'm in good hands with you all, so even if the worst happens, I can recover."
"Thu, 27 Jun 2019 18:18:00 GMT",Ric,says,ooc,I'm glad to hear it.
"Thu, 27 Jun 2019 18:23:00 GMT",Ric,says,ooc,Do we want to skip downtime activity and go straight into the mission?
"Thu, 27 Jun 2019 18:23:00 GMT",Morgan,says,ooc,"Well, Orin's had plans for upgrading their bow."
"Thu, 27 Jun 2019 18:23:00 GMT",Mark,says,ooc,Hmm... there are some rp things Quinn would like to say/do... but that can wait till mission start so it don't slow things up.
"Thu, 27 Jun 2019 18:25:00 GMT",Chris,says,ooc,I want Biron to do some training with some of the guards. Its pretty much just fighting/sparing.
"Thu, 27 Jun 2019 18:28:00 GMT",Ric,says,ooc,Who wants to go first?
"Thu, 27 Jun 2019 18:28:00 GMT",Mark,says,ooc,I volunteer Orin 😃
"Thu, 27 Jun 2019 18:28:00 GMT",Ric,says,ooc,"Ha ha I think you just volunteered yourself, Mark 😃"
"Thu, 27 Jun 2019 18:31:00 GMT",GM,says,ic,"Quinn finds the woman drowning her sorrows alone in the mess tent. She stares balefully at Quinn as he approaches, clearly in her cups."
"Thu, 27 Jun 2019 18:31:00 GMT",Quinn,does,ic,clears his throat and sits down next to her.
"Thu, 27 Jun 2019 18:31:00 GMT",Quinn,says,ic,"You knew the victim I 'ear? Well, I never did - more shame me. But listen, I won't keep ya from ya grief. 'fing is, when the spear landed, the lad fell into my arms and erm... his coinpurse kinda fell into me pocket like..."
"Thu, 27 Jun 2019 18:31:00 GMT",Quinn,does,ic,pulls out a coinpurse and puts it beside the woman.
"Thu, 27 Jun 2019 18:31:00 GMT",Quinn,says,ic,"I've taken none - by the father I wanted to... but kinda thought it wouldn't be right none. Best you have it, or give it to the boy's family. Whatever you be think. Three Kastenburg crowns if you be wondering."
"Thu, 27 Jun 2019 18:35:00 GMT",GM,says,ic,"The woman blearily stares at the coinpurse, silent for a moment. Then she seems to draw something from within, stands, takes the coinpurse. She nods and leaves the tent, whether to return the coins or spend them you never find out."
"Thu, 27 Jun 2019 18:35:00 GMT",Quinn,does,ic,shrugs and walks away grumbling to himself.
"Thu, 27 Jun 2019 18:35:00 GMT",Quinn,says,ic,"Join a mercenary company they said, see the world and make your fortune... grumble grumble..."
