timestamp,actor,type,chat,message
"Thu, 27 Jun 2019 18:40:00 GMT",GM,says,ic,"The camp foundry sits close to the commissary. It is yet early in the day and most of the forges here sit cool, with only a couple of smiths working weapons for the company."
"Thu, 27 Jun 2019 18:35:00 GMT",Orin,does,ic,gets back to their tent after the physicks release them and picks up the blackened bow They head over to the blacksmiths' tent with determination.
"Thu, 27 Jun 2019 18:40:00 GMT",GM,says,ic,The smell of smouldering iron and coals still makes you choke a little as your enter the smoky tent.
"Thu, 27 Jun 2019 18:40:00 GMT",Orin,does,ic,approaches the friendliest looking smith and shows them the pair of bows.
"Thu, 27 Jun 2019 18:42:00 GMT",Orin,says,ic,Can you help me do this...
"Thu, 27 Jun 2019 18:42:00 GMT",Orin,does,ic,indicates the string of the strange one.
"Thu, 27 Jun 2019 18:42:00 GMT",Orin,says,ic,... for this bow?
"Thu, 27 Jun 2019 18:42:00 GMT",Orin,does,ic,indicates their own bow.
"Thu, 27 Jun 2019 18:42:00 GMT",GM,says,ic,"This short, stocky man, his bald pate covered in sweat, eyes the bow suspiciously, then eyes Orin with equal suspicion."
"Thu, 27 Jun 2019 18:43:00 GMT",The Smith,says,ic,"Ey, aren't you friends with that scarred fellow? What's-'is... Nal?"
"Thu, 27 Jun 2019 18:43:00 GMT",Orin,says,ic,Ba.
"Thu, 27 Jun 2019 18:43:00 GMT",The Smith,says,ic,"Aye, he promised to run... an errand for me but I ain't never got what was promised."
"Thu, 27 Jun 2019 18:45:00 GMT",Orin,says,ic,I'm sorry. He's been taken with some other work. Is it something I can help with?
"Thu, 27 Jun 2019 18:46:00 GMT",The Smith,says,ic,Might be you could. What you be wanting?
"Thu, 27 Jun 2019 18:47:00 GMT",Orin,says,ic,"Your know-how with metal, combined with my know-how of bows... and we sus this metal string out to make one like it for my own bow."
"Thu, 27 Jun 2019 18:47:00 GMT",The Smith,does,ic,rubs his chin.
"Thu, 27 Jun 2019 18:48:00 GMT",Morgan,says,ooc,"Don't say ""gentleman's malady""!"
"Thu, 27 Jun 2019 18:48:00 GMT",Ric,says,ooc,LOL 😛
"Thu, 27 Jun 2019 18:48:00 GMT",Morgan,says,ooc,Hahahaha.
"Thu, 27 Jun 2019 18:48:00 GMT",Mark,says,ooc,Sounds like hes got an itch needs scratching.
"Thu, 27 Jun 2019 18:48:00 GMT",Morgan,says,ooc,Oh god.
"Thu, 27 Jun 2019 19:00:00 GMT",Liam,says,ooc,Ba still has no clue what a gentlemen’s malady is and why Orin found it so funny.. he’s gonna find out at some point xD.
"Thu, 27 Jun 2019 19:00:00 GMT",Ric,says,ooc,LIAM!!!!
"Thu, 27 Jun 2019 19:00:00 GMT",Liam,says,ooc,Hey guys just a quick drop in cos I was reading xD.
"Thu, 27 Jun 2019 19:04:00 GMT",Morgan,says,ooc,Lol hey Liam! So excited to get that quest passed on to me.
"Thu, 27 Jun 2019 19:04:00 GMT",Mark,says,ooc,Hi Liam.
"Thu, 27 Jun 2019 19:01:00 GMT",Ric,says,ooc,Ha ha how are you?
"Thu, 27 Jun 2019 19:01:00 GMT",Ric,says,ooc,Where are you?
"Thu, 27 Jun 2019 19:03:00 GMT",Liam,says,ooc,Hahahaha if only.. haven’t actually left yet but they wanted me to leave tomorrow so I was getting ready then they put it off another week so next Friday!
"Thu, 27 Jun 2019 19:03:00 GMT",Liam,says,ooc,Also I can update some peeps I got my assignment I’ll be going to Scandinavia and russia for the first 4/5 months and then last 1/2 in the Caribbean I can’t wait!
"Thu, 27 Jun 2019 19:04:00 GMT",Mark,says,ooc,Niiiice!!!
"Thu, 27 Jun 2019 19:04:00 GMT",Morgan,says,ooc,Now you're just showing off 😛
"Thu, 27 Jun 2019 19:05:00 GMT",Ric,says,ooc,Oh amazing!
"Thu, 27 Jun 2019 18:47:00 GMT",The Smith,says,ic,"Aye, but first I'll need you to get something for me. I'm suffering from..."
"Thu, 27 Jun 2019 18:47:00 GMT",The Smith,does,ic,looks around the tent.
"Thu, 27 Jun 2019 18:47:00 GMT",Orin,does,ic,"leans in, curious."
"Thu, 27 Jun 2019 18:48:00 GMT",The Smith,says,ic,... a er painful malady of a.... personal nature. I need a cure. Something from the apothecaries of Dismas.
"Thu, 27 Jun 2019 18:48:00 GMT",Orin,does,ic,coughs... to hide a laugh.
"Thu, 27 Jun 2019 18:49:00 GMT",Orin,says,ic,"Right. That must be difficult. And you've tried the camp Physicks? They're an able bunch, if not a little greedy?"
"Thu, 27 Jun 2019 18:50:00 GMT",The Smith,says,ic,"If I was asking for this, would I want word of it spreading around camp? Do we have a deal or not?"
"Thu, 27 Jun 2019 18:50:00 GMT",,says,ic,Fetch.
"Thu, 27 Jun 2019 18:50:00 GMT",Orin,does,ic,looks around at the other smiths...
"Thu, 27 Jun 2019 18:51:00 GMT",Orin,says,ic,I could go to someone else.
"Thu, 27 Jun 2019 18:51:00 GMT",The Smith,does,ic,laughs.
"Thu, 27 Jun 2019 18:52:00 GMT",The Smith,says,ic,"We're smiths, not fools. None of the others will touch that cursed swine steel!"
"Thu, 27 Jun 2019 18:52:00 GMT",Orin,says,ic,"Well, in that case, it was a pleasure to hear your secret."
"Thu, 27 Jun 2019 18:52:00 GMT",Orin,does,ic,stalks back off to their tent.
